well_id,feature,corr_with_SPP,corr_with_ANNULAR
A,Depth(m),0.8186116016776018,0.921858538637639
A,TVD(m),-0.035933468738039126,-0.046936194963519584
A,Flow In Pum Avg(lpm),0.5606074569271494,0.505179688945545
A,ROP Avg(m/hr),-0.02576936994915402,0.0030687457625303933
A,Torque Abs Avg(kN-m),0.7727443302328897,0.8582504533978161
A,WOB Avg(mton),0.5679767371406813,0.5464317026882312
A,RPM Surface Avg(rpm),0.8092036955868706,0.8605396197223122
A,Dens Mud(sg),-0.49319561297434716,-0.5007390177206327
A,mass_flow,0.1892847386499465,0.13484242757511594
A,depth_normalized,0.8186116016776025,0.9218585386376394
A,depth_rel,0.8186116016776019,0.921858538637639
A,inclination_proxy,0.8187000381562831,0.9219774460484174
A,dWOB_dmd,-0.0004047226045744681,0.012081933059945942
A,dFlow_dmd,-0.025255120287188466,-0.026003373065989613
A,dROP_dmd,-0.017116437704348654,0.0072198997535599845
A,WOB_mean_10m,0.6670673221331455,0.6468392950487053
A,Flow_mean_10m,0.5770479241844029,0.5213562913419756
A,torque_per_rpm,0.487064193583125,0.5581376512276356
A,rop_per_rpm,-0.3439170143802369,-0.3361855318755159
B,Depth(m),0.8299085574686673,0.6215865861400547
B,TVD(m),-0.6445612745885377,-0.7137896873303633
B,Flow In Pum Avg(lpm),0.5903774763389531,0.22653303924791746
B,ROP Avg(m/hr),0.02382524413626434,0.17110055832595197
B,Torque Abs Avg(kN-m),0.17773554804628505,0.31637232295851436
B,WOB Avg(mton),-0.2852750083576863,-0.15072521032189193
B,RPM Surface Avg(rpm),-0.01841156424841287,0.13850121586772937
B,Dens Mud(sg),0.08727140005585161,0.17992051951746696
B,mass_flow,0.5680057234989548,0.2675648713335925
B,depth_normalized,0.8299085574686669,0.6215865861400532
B,depth_rel,0.8299085574686673,0.6215865861400532
B,inclination_proxy,0.8301733646490911,0.6236407114426789
B,dWOB_dmd,0.08146761170493917,0.0037441389881229005
B,dFlow_dmd,-0.03324272158355416,-0.010649074629791158
B,dROP_dmd,0.014012900640493394,0.014957495762698869
B,WOB_mean_10m,-0.3102201503460133,-0.12095251229782582
B,Flow_mean_10m,0.6116144510580783,0.21517462739052123
B,torque_per_rpm,0.17295661247800942,0.23092170631836526
B,rop_per_rpm,0.028979788917600082,0.13552931997231438
C,Depth(m),-0.4714806534522233,-0.5026652742619178
C,TVD(m),-0.32767559915547073,-0.3143987188043947
C,Flow In Pum Avg(lpm),0.9458141036894467,0.7255503485097922
C,ROP Avg(m/hr),0.7628880788448716,0.7563427528965317
C,Torque Abs Avg(kN-m),0.6315551579788966,0.6502075617168713
C,WOB Avg(mton),0.6748614000619998,0.6809687818340425
C,RPM Surface Avg(rpm),0.5332085315566452,0.41398007019280164
C,Dens Mud(sg),0.5099696379715266,0.4564138081033838
C,mass_flow,0.9324452568276608,0.72281066369212
C,depth_normalized,-0.47148065345222223,-0.5026652742619168
C,depth_rel,-0.4714806534522215,-0.5026652742619165
C,inclination_proxy,-0.4718699283642068,-0.5032789664870462
C,dWOB_dmd,-0.0060217079944854465,-0.0015638236584164548
C,dFlow_dmd,0.02759846659027987,0.004905579207546427
C,dROP_dmd,-0.024169671738719967,-0.021654322525532444
C,WOB_mean_10m,0.6998950141560709,0.699375727791522
C,Flow_mean_10m,0.9360830573670196,0.7266083071678814
C,torque_per_rpm,-0.23092156128197502,-0.14032474222649252
C,rop_per_rpm,0.524502493565839,0.5732313037195915
D,Depth(m),0.2192143340168821,0.4843257700929076
D,TVD(m),-0.5154174038053073,-0.29731307280824465
D,Flow In Pum Avg(lpm),0.3965005003811652,0.18465438201019535
D,ROP Avg(m/hr),0.2531059965883401,0.23200396551555486
D,Torque Abs Avg(kN-m),0.2183422302063271,0.40349458472475963
D,WOB Avg(mton),0.2945299597355006,0.11532977642287251
D,RPM Surface Avg(rpm),0.02467938961264313,0.06330581884414915
D,Dens Mud(sg),-0.23183106409484294,-0.28014070541220043
D,mass_flow,0.046756086785768654,-0.12238708044086188
D,depth_normalized,0.21921433401688323,0.4843257700929092
D,depth_rel,0.21921433401688117,0.4843257700929109
D,inclination_proxy,0.1505470434493037,0.4230165474961613
D,dWOB_dmd,0.0053655189794633434,0.0027173266182111888
D,dFlow_dmd,0.002255052044103059,0.0026368332070823047
D,dROP_dmd,-0.0028720419273154003,0.005310020625157232
D,WOB_mean_10m,0.31521584422651105,0.12386951921807673
D,Flow_mean_10m,0.42778505534928113,0.19456411649865116
D,torque_per_rpm,0.2119931035440298,0.3912860464049345
D,rop_per_rpm,0.24943087614332415,0.22606525896208804
