Depth(m),TVD(m),SPP Avg(bar),Flow In Pum Avg(lpm),ROP Avg(m/hr),Torque Abs Avg(kN-m),WOB Avg(mton),RPM Surface Avg(rpm),Dens Mud(sg),Annular Press(barg),well_id,SPP_smooth,SPP_ratio,AP_smooth,AP_ratio,mode,distance_to_low_pressure_m,is_core_drill
2229.0,1981.4338,84.9325,1154.4757,19.9699,13.0672,1.227,99.0584,1.2165,249.7684,A,89.0013,0.9542838138319328,249.8353,0.9997322235889005,drill,8.0,True
2230.0,1981.6669,90.3428,1154.342,30.7659,13.8391,2.2192,99.0176,1.2168,250.1962,A,89.6733,1.007465990434165,250.1838,1.0000495635608702,drill,9.0,True
2231.0,1981.8694,90.2849,1154.3221,34.9038,14.2183,2.5007,99.0646,1.2164,250.225,A,89.8496,1.0048447628036186,250.1838,1.000164678928052,drill,10.0,True
2232.0,1982.0894,90.3258,1154.3051,30.2531,13.9214,1.6116,98.9987,1.2161,250.2299,A,89.8496,1.005299967946435,250.1962,1.0001346942919196,drill,11.0,True
2233.0,1982.2968,90.4869,1154.3051,32.2705,14.347,2.2445,98.9915,1.2165,250.266,A,89.8625,1.0069483933787733,250.2137,1.0002090213285684,drill,12.0,True
2234.0,1982.4995,90.1223,1154.3185,30.3279,14.5828,2.857,98.8095,1.2157,250.3024,A,89.8625,1.0028910835999443,250.225,1.0003093216105505,drill,13.0,True
2235.0,1982.718,89.949,1154.3051,32.5585,14.74,3.2409,99.051,1.2164,250.2878,A,89.8625,1.0009625817220753,250.2261,1.0002465769957651,drill,14.0,True
2236.0,1982.9224,89.6733,1154.3051,36.3853,15.108,3.017,98.789,1.2166,250.3625,A,89.8625,0.9978945611350675,250.2299,1.0005299126922882,drill,15.0,True
2237.0,1983.1222,90.317,1154.3438,32.2668,14.1695,1.8623,99.1748,1.216,250.355,A,89.8726,1.0049447773848759,250.2404,1.0004579596260237,drill,16.0,True
2238.0,1983.3407,90.451,1154.2448,20.1616,14.0261,2.2002,98.787,1.2171,250.1838,A,89.8726,1.006435776866364,250.2404,0.9997738174970948,drill,17.0,True
2239.0,1983.5349,89.8726,1154.3051,30.4457,13.6743,2.2352,99.3317,1.2169,250.2455,A,89.8726,1.0,250.2404,1.0000203804022052,drill,18.0,True
2240.0,1983.7419,89.8496,1154.302,32.1422,14.696,3.9391,98.625,1.2174,250.2261,A,89.8726,0.9997440821785504,250.2404,0.9999428549506795,drill,19.0,True
2241.0,1983.9574,90.2837,1154.3248,35.6969,14.8487,3.6982,98.9615,1.2175,250.1392,A,89.8625,1.0046871609403254,250.2404,0.9995955888817313,drill,20.0,True
2242.0,1984.1494,89.8181,1154.3051,34.3619,14.5503,3.7125,98.9546,1.2173,250.2137,A,89.8625,0.9995059118097093,250.2404,0.9998933026002196,drill,20.0,True
2243.0,1984.3396,89.8625,1154.3051,33.9566,14.2051,3.0022,99.0182,1.2176,250.2404,A,89.8625,1.0,250.2455,0.9999796200131471,drill,19.0,True
2244.0,1984.5457,89.7071,1154.3051,31.205,14.4775,3.8592,98.865,1.2171,250.3328,A,89.8625,0.9982706913339825,250.2455,1.0003488574220116,drill,18.0,True
2245.0,1984.7358,89.8191,1154.317,33.4882,14.4333,3.4182,98.9747,1.2167,250.3695,A,89.8625,0.9995170399221033,250.2455,1.0004955134058355,drill,17.0,True
2246.0,1984.9368,89.7951,1154.2866,30.9925,15.0275,4.2905,98.7953,1.2172,250.4332,A,89.8496,0.9993934307999146,250.2404,1.000770459126504,drill,16.0,True
2247.0,1985.1467,90.1859,1154.3406,40.9076,14.383,3.6711,95.1239,1.2165,250.2742,A,89.8496,1.0037429215043807,250.2261,1.0001922261506693,drill,15.0,True
2248.0,1985.3395,89.6613,1154.3492,32.79,13.6687,3.7802,79.0188,1.2154,249.9082,A,89.8191,0.9982431353687578,250.2137,0.9987790436734679,drill,14.0,True
2249.0,1985.5264,89.6717,1154.3236,36.369,14.3575,4.4731,78.9379,1.2134,250.0213,A,89.8181,0.9983700390010477,250.2137,0.9992310572922266,drill,13.0,True
2250.0,1985.7261,89.6865,1154.4049,33.2772,14.3213,4.6099,79.0072,1.2128,250.0958,A,89.7951,0.9987905798868757,250.1392,0.9998264966066894,drill,12.0,True
2251.0,1985.9178,89.632,1154.3635,30.3727,13.9499,4.8884,78.9849,1.2131,250.0373,A,89.7071,0.9991628310356706,250.1366,0.9996030169115595,drill,11.0,True
2252.0,1986.1123,90.055,1154.2758,24.6336,13.5874,4.9808,78.9891,1.2137,250.1095,A,89.6865,1.0041087566133142,250.1095,1.0,drill,10.0,True
2253.0,1986.3075,90.2037,1154.3441,38.2283,13.4631,5.4591,79.0748,1.2144,250.263,A,89.6717,1.0059327524737458,250.0958,1.0006685438140106,drill,9.0,True
2254.0,1986.4858,90.6775,1154.3159,30.3309,12.546,5.1309,79.0419,1.2145,250.4268,A,89.6613,1.0113337638423712,250.0373,1.001557767581077,drill,8.0,True
2255.0,1986.6901,91.146,1154.3051,35.9263,12.4416,5.3869,79.1029,1.2139,250.5286,A,89.632,1.0168912888254193,250.0373,1.0019649068359002,drill,7.0,True
2256.0,1986.879,88.3277,1154.4037,18.0175,11.5938,3.7939,79.2012,1.215,250.1366,A,89.2318,0.9898679618700955,250.0373,1.0003971407466006,drill,6.0,True
2257.0,1987.0505,83.9362,1154.4333,15.2399,12.053,5.1088,79.395,1.214,249.7939,A,89.2318,0.940653444175731,250.0373,0.9990265452394503,drill,5.0,False
2258.0,1987.2347,89.2318,1154.2897,25.9409,12.7591,5.7571,78.8347,1.2152,249.9283,A,89.2146,1.0001927935562116,250.0373,0.9995640650414959,drill,4.0,False
2259.0,1987.4258,89.1022,1154.2688,28.6228,12.9579,5.8885,79.2362,1.2153,249.8946,A,89.1022,1.0,250.0958,0.9991955082812266,drill,3.0,False
2260.0,1987.6042,88.8405,1154.3193,26.0342,13.8091,7.0943,78.9327,1.2156,249.8296,A,89.1022,0.9970629232499311,250.1095,0.9988808901701055,drill,2.0,False
2261.0,1987.8053,88.8687,1154.3262,22.9303,14.3124,7.6565,78.8477,1.2149,249.7414,A,89.1022,0.9973794137518491,250.1366,0.9984200632774253,drill,1.0,False
2262.0,1987.9644,85.6777,1131.7599,6.0455,12.189,8.8167,70.7622,1.2151,248.949,A,89.1022,0.9615666055383594,250.263,0.9947495235012767,low_pressure_event,0.0,False
2263.0,1988.1105,69.1904,999.4207,10.9219,13.5995,5.0869,63.0089,1.2153,247.3708,A,89.1022,0.7765285256705221,250.4268,0.987796833246282,low_pressure_event,0.0,False
2264.0,1988.3341,73.5873,1115.6913,32.9101,12.3759,1.8083,79.4703,1.2159,247.9422,A,89.1022,0.8258752309146127,250.5019,0.9897817142305109,low_pressure_event,0.0,False
2265.0,1988.5081,87.9347,1149.8641,32.6936,12.6847,2.2449,110.2612,1.2162,250.5239,A,89.1022,0.9868970687592451,250.5239,1.0,low_pressure_event,0.0,False
2266.0,1988.6581,88.7585,1149.8951,21.2695,13.6679,5.6332,119.0887,1.2159,250.5019,A,89.1022,0.9961426317195311,250.5239,0.9999121840271528,low_pressure_event,0.0,False
2267.0,1988.8429,89.3575,1149.8802,50.2241,14.4408,4.1154,118.7603,1.2163,250.8174,A,89.1022,1.002865249118428,250.6124,1.0008179962364192,drill,1.0,False
2268.0,1989.0282,89.2146,1149.9103,40.431,12.0598,1.4673,119.2737,1.2153,250.6124,A,89.1022,1.0012614727806946,250.8174,0.9991826723345351,drill,2.0,False
2269.0,1989.1812,88.9292,1149.8627,25.359,12.289,1.8113,118.9903,1.2161,251.1231,A,89.1022,0.998058409332205,250.9759,1.0005865104976215,drill,3.0,False
2270.0,1989.3374,89.1883,1149.8691,27.8726,13.2353,2.3629,118.883,1.2151,250.9759,A,89.1883,1.0,251.1231,0.9994138332953042,drill,4.0,False
2271.0,1989.5031,89.4927,1149.8717,35.5725,12.9895,2.3778,119.0312,1.2141,251.1821,A,89.1883,1.0034130037235827,251.1231,1.0002349445351701,drill,5.0,False
2272.0,1989.6696,90.1694,1149.8246,30.5798,12.6605,2.319,119.1429,1.2151,251.3356,A,89.1883,1.011000321791087,251.1458,1.0007557363093469,drill,6.0,True
2273.0,1989.8179,89.5563,1149.7983,29.4201,13.4677,3.2316,119.0012,1.2159,251.4916,A,89.2146,1.0038300905905535,251.16,1.0013202739289697,drill,7.0,True
2274.0,1989.9778,90.2832,1149.7864,34.3841,13.2492,2.8661,119.142,1.2156,251.6139,A,89.3575,1.0103595109531935,251.1821,1.0017190715421203,drill,8.0,True
2275.0,1990.1277,89.9101,1149.8524,31.6256,13.8838,3.4184,119.1899,1.2167,251.7482,A,89.4558,1.005078485687904,251.2615,1.0019370257679747,drill,9.0,True
2276.0,1990.2823,90.0992,1149.7887,31.5727,13.7649,3.1987,118.9947,1.2154,251.9332,A,89.4927,1.0067770890810088,251.3356,1.0023776973894665,drill,10.0,True
2277.0,1990.4412,82.4242,1150.1653,36.0067,13.563,1.8973,119.2712,1.2159,251.16,A,89.5563,0.9203618282577553,251.4798,0.9987283272851337,drill,10.0,False
2278.0,1990.5801,84.7238,1149.8369,32.5981,13.9889,3.4057,118.4455,1.2161,251.991,A,89.5563,0.9460395304406279,251.4798,1.0020327676417748,drill,9.0,False
2279.0,1990.7173,90.4866,1149.806,32.7405,13.6524,3.2997,116.3442,1.2153,252.1699,A,89.576,1.0101656693757257,251.4916,1.002697107974978,drill,8.0,True
2280.0,1990.8572,89.7766,1149.7748,29.2358,13.4915,3.9859,79.317,1.2163,251.4798,A,89.7599,1.0001860519006818,251.5028,0.9999085497258877,drill,7.0,True
2281.0,1990.9917,85.9707,1149.9171,31.8374,12.8469,3.186,78.9946,1.2154,251.0711,A,89.7599,0.9577851579602917,251.5207,0.9982124731682124,drill,6.0,True
2282.0,1991.1387,81.7325,1150.0352,35.7186,13.4488,3.9097,79.1277,1.2167,251.1458,A,89.7599,0.9105680821836922,251.5207,0.9985094666164653,drill,5.0,False
2283.0,1991.2723,90.1766,1149.8076,36.7175,13.5507,4.2538,79.0481,1.2153,251.7057,A,89.7599,1.0046423848511417,251.5207,1.0007355259427952,drill,4.0,False
2284.0,1991.4188,89.4558,1149.7799,49.8115,13.5829,4.8422,79.2403,1.2159,251.5496,A,89.7766,0.9964266857956304,251.5207,1.0001149010797123,drill,3.0,False
2285.0,1991.5304,90.1757,1149.7748,27.2694,12.4028,1.7039,78.8694,1.2153,251.2615,A,89.7766,1.0044454791114834,251.5207,0.9989694685169054,drill,2.0,False
2286.0,1991.6584,89.576,1149.7897,27.5362,13.0551,-2.0709,79.0701,1.2158,251.5207,A,89.7766,0.9977655647462701,251.5207,1.0,drill,1.0,False
2287.0,1991.7916,90.0342,1149.8251,35.6161,13.7996,-0.073,79.0933,1.2166,251.5028,A,89.7599,1.003055930320778,251.5135,0.9999574575519804,low_pressure_event,0.0,False
2288.0,1991.9042,77.6677,1150.4138,28.8542,13.3237,-0.3337,78.9006,1.2157,250.3149,A,89.7599,0.8652828267411171,251.5135,0.9952344506358506,low_pressure_event,0.0,False
2289.0,1992.0337,89.7599,1149.7748,25.3454,14.1705,0.2606,78.9377,1.2152,251.5706,A,89.7599,1.0,251.5135,1.0002270255870958,low_pressure_event,0.0,False
2290.0,1992.1523,89.8182,1149.803,33.0625,13.4934,-0.2532,79.0335,1.2149,251.5469,A,89.7599,1.0006495105275295,251.5135,1.000132796052697,low_pressure_event,0.0,False
2291.0,1992.2675,89.5293,1149.7748,31.9822,13.5763,0.3986,79.167,1.2143,251.525,A,89.7599,0.9974309240540599,251.5207,1.0000170960084,drill,1.0,False
2292.0,1992.3899,89.5552,1149.7748,30.3893,14.0867,1.0161,78.9975,1.2142,251.4582,A,89.8182,0.9970718629409184,251.525,0.9997344200377696,drill,2.0,False
2293.0,1992.5032,89.8194,1149.7748,31.6627,13.9273,0.1874,79.0163,1.2132,251.5135,A,89.8194,1.0,251.5469,0.9998672215797532,drill,3.0,False
2294.0,1992.6119,89.9287,1149.7748,34.0272,14.3384,-0.0272,78.9803,1.213,251.4932,A,89.8194,1.0012168863296793,251.5469,0.999786520923136,drill,2.0,False
2295.0,1992.7212,90.5767,1149.7748,58.6426,16.4909,2.611,78.2548,1.2128,251.5694,A,89.9287,1.0072057085224182,251.5469,1.0000894465405854,drill,1.0,False
2296.0,1992.8276,90.4865,1149.7748,54.874,16.8428,2.8406,79.0541,1.2133,251.6185,A,89.9287,1.0062026916879705,251.5694,1.0001951747708584,low_pressure_event,0.0,False
2297.0,1992.9379,78.4458,1150.4207,63.7389,16.9764,1.8786,78.6649,1.2114,250.1222,A,89.9287,0.8723110642097572,251.5694,0.9942473130674875,low_pressure_event,0.0,False
2298.0,1993.0466,71.2077,1150.4417,97.0633,16.2037,2.1372,78.8137,1.2127,250.3766,A,89.8194,0.792787526970788,251.5694,0.9952585648334018,low_pressure_event,0.0,False
2299.0,1993.1384,84.068,1150.0476,58.2661,17.3162,5.2964,78.7243,1.2127,251.6107,A,89.8194,0.9359670627948973,251.5706,1.0001593985942714,low_pressure_event,0.0,False
2300.0,1993.2374,90.1564,1149.8096,66.6728,16.8834,5.3102,78.7385,1.2116,251.8157,A,89.9287,1.0025320059113498,251.6107,1.000814750724035,low_pressure_event,0.0,False
2301.0,1993.3468,91.0917,1149.8115,74.191,16.591,5.8626,78.825,1.2109,251.8758,A,90.1564,1.010374194178117,251.6185,1.0010225798182566,drill,1.0,False
2302.0,1993.4282,90.9003,1149.8127,68.5636,16.109,5.321,78.598,1.2119,251.9999,A,90.4865,1.0045730578594596,251.8157,1.000731487353648,drill,2.0,False
2303.0,1993.5281,91.4677,1149.959,58.6665,15.9747,6.2627,78.8464,1.2101,252.0528,A,90.5767,1.009836966902084,251.8758,1.0007027272965485,drill,3.0,False
2304.0,1993.6267,90.8078,1149.8938,59.7084,15.7277,5.8648,79.1507,1.2108,252.2206,A,90.8078,1.0,251.9999,1.0008757939983308,drill,3.0,False
2305.0,1993.7076,91.1281,1149.9019,41.6454,15.1515,6.2381,78.735,1.2113,252.0571,A,90.9003,1.0025060423342937,252.0528,1.0000170599176046,drill,2.0,False
2306.0,1993.7964,91.4431,1149.7748,65.5297,14.7688,5.977,78.9149,1.2106,252.2886,A,90.9003,1.0059713774321977,252.0528,1.000935518272362,drill,1.0,False
2307.0,1993.8815,82.582,1150.1963,72.803,15.7931,7.0623,78.8904,1.2119,250.8656,A,90.9003,0.9084898509685886,252.0571,0.9952728964984522,low_pressure_event,0.0,False
2308.0,1993.9686,70.5134,1150.6249,76.0888,15.6767,5.6695,78.635,1.2117,250.7121,A,91.0643,0.7743253942543895,252.1704,0.9942170056438028,low_pressure_event,0.0,False
2309.0,1994.0479,79.4033,1150.2577,69.1073,15.2013,4.6335,79.0801,1.2116,252.1704,A,91.0917,0.8716853456462005,252.2206,0.9998009678828772,low_pressure_event,0.0,False
2310.0,1994.1323,91.0643,1149.7748,70.2879,14.9922,6.7025,78.9903,1.2119,252.6521,A,91.1281,0.9992998866430881,252.2886,1.0014408102466779,low_pressure_event,0.0,False
2311.0,1994.2146,92.2604,1149.7748,66.6039,14.778,6.8165,79.1441,1.2103,252.7481,A,91.4431,1.0089377984779606,252.3575,1.0015478042063344,low_pressure_event,0.0,False
2312.0,1994.283,92.1973,1149.7853,38.1338,13.994,5.0486,79.0642,1.2112,252.6997,A,91.4677,1.0079765862703447,252.5551,1.000572548327078,drill,1.0,False
2313.0,1994.3654,92.1758,1149.7748,54.6637,13.7668,5.1012,78.8879,1.2108,252.6335,A,91.4997,1.007389095264793,252.6335,1.0,drill,2.0,False
2314.0,1994.4314,92.3742,1149.7748,26.723,13.6133,2.5164,78.8947,1.2108,252.5551,A,91.5924,1.0085356426952454,252.6521,0.999616072852749,drill,1.0,False
2315.0,1994.5002,91.4997,1149.8489,42.1624,15.6625,4.9102,78.5507,1.208,253.0813,A,91.8895,0.9957579484054218,252.6997,1.0015100928097658,low_pressure_event,0.0,False
2316.0,1994.5707,82.7637,1150.1624,65.9454,15.7885,4.9066,78.8981,1.2088,251.7193,A,92.1052,0.898577930453438,252.7481,0.9959295440796588,low_pressure_event,0.0,False
