Target,well_id,mu,sigma,p5,p25,p50,p75,p95,n
SPP,A,-1.5864390126185832,9.59032643212174,-19.92561678863004,-7.046786485207473,-1.1328557440997997,4.128847559370762,13.457872104597104,3166
SPP,B,-5.6490125177481785,7.376343045440445,-21.089892022629172,-7.240361350702724,-4.523831695829621,-1.707315763863285,3.220287984744732,688
SPP,C,10.184929997969812,8.655135341844186,-3.158946528291832,4.811885415150037,10.605594775711403,16.225183794628713,23.335304891282412,2236
SPP,D,3.8972288347359845,16.90293846718478,-17.93709383212182,-9.613507999923879,2.790370888764514,15.949448677899102,31.855977197924254,4792
AP,A,-0.2759524718760766,2.113852426795902,-4.119474634499909,-1.5553354374496493,-0.3259495914325896,1.0148651713284949,3.2750816078582403,3166
AP,B,-2.6093774806001018,1.6406592373879456,-5.379986843719064,-3.725135561126123,-2.4449262496152357,-1.8557293159414598,0.6023844864210101,688
AP,C,2.809512696220529,3.4319073560303965,-2.2734145047779464,0.42242595794161275,2.524191017018694,4.989440285722864,9.041873927879536,2236
AP,D,-1.2488920253331415,5.536055392299065,-9.332326509701764,-4.67520291928264,-0.9029060266209399,1.4552057432183787,6.714426795255665,4792
