well_id,Depth(m),mode,SPP Avg(bar),Annular Press(barg),SPP_pred_lr,AP_pred_lr,warning_AP_trend,warning_AP_trend_seg,warning_AP_trend_local,rolling_abs_z_AP_lr_trend,rolling_abs_z_AP_lr_trend_seg,rolling_abs_z_AP_lr_trend_local,z_AP_lr_trend,z_AP_lr_trend_seg,z_AP_lr_trend_local,r_AP_lr_trend_lowess,r_AP_lr,warning_SPP_trend,warning_SPP_trend_seg,warning_SPP_trend_local,rolling_abs_z_SPP_lr_trend,rolling_abs_z_SPP_lr_trend_seg,rolling_abs_z_SPP_lr_trend_local,z_SPP_lr_trend,z_SPP_lr_trend_seg,z_SPP_lr_trend_local,r_SPP_lr_trend_lowess,r_SPP_lr,is_spike_r_SPP_lr,is_spike_r_AP_lr,r_SPP_lr_clean,r_AP_lr_clean
C,6831.0,drill,101.757,264.3924,92.81038581395714,258.140492880618,0,0,0,0.8234934498995922,0.1205618087065017,0.6201794374732013,0.8802076762798663,0.16979287825186004,0.8629742254919575,6.199962725289076,6.251907119381997,0,0,0,0.5834034669878859,0.44197819207166766,0.6228905035834741,-0.5115044034409412,-0.3678393106999463,0.9687374816782686,8.513204791525816,8.946614186042865,False,False,8.946614186042865,6.251907119381997
C,6832.0,drill,101.6675,264.4293,92.85377598117297,258.1919287754145,0,0,0,0.8097389087638426,0.13375183290231035,0.5917673800176507,0.8775523513976758,0.16700233570295067,0.7678485953562321,6.191326517631446,6.237371224585502,0,0,0,0.5921134472197868,0.4509595078121891,0.59806711817416,-0.5165881998216154,-0.3730814787921455,0.8946047048447072,8.479927094208294,8.813724018827031,False,False,8.813724018827031,6.237371224585502
C,6833.0,drill,101.5835,264.4471,92.91414502329519,258.2149019945854,0,0,0,0.7864379629982934,0.1502907663868171,0.5634313699713311,0.8715095075904984,0.16065177089129853,0.6857529461739562,6.171672706411797,6.2321980054146024,0,0,0,0.6101759541569639,0.4695847025369705,0.5809218376648102,-0.5267191675561175,-0.3835280489975915,0.7647430125907727,8.41361144099214,8.66935497670481,False,False,8.66935497670481,6.2321980054146024
C,6834.0,drill,101.8198,264.4371,92.93996849712516,258.2521352814285,0,0,0,0.7552889715977784,0.169849751364858,0.5378513767834557,0.8623088323668232,0.15098256775063323,0.6430911417640709,6.141748329792193,6.184964718571507,0,0,0,0.6361260124326109,0.496343163595803,0.5708047617255078,-0.5419046215757274,-0.39918656412415504,0.6591348076194695,8.314209949536911,8.879831502874836,False,False,8.879831502874836,6.184964718571507
C,6835.0,drill,101.6879,264.4319,93.12670418058542,258.27205645038583,0,0,0,0.7171934793803153,0.19280476445041203,0.5148837698566994,0.8501397561655527,0.13819380312588647,0.6296404813043397,6.102169493401747,6.159843549614152,0,0,0,0.6690784033238295,0.53032209570809,0.5696996267827539,-0.5634011803793071,-0.4213527891682161,0.5839190088872346,8.173497001246298,8.561195819414579,False,False,8.561195819414579,6.159843549614152
C,6836.0,drill,101.6813,264.39,93.52217137275512,258.30901263144744,0,0,0,0.6724078287312827,0.22005280250549136,0.4961769779765876,0.8300471662506599,0.11707803403436773,0.6164324267148277,6.036820134440641,6.080987368552542,0,0,0,0.7078776567053059,0.5703300332507323,0.5785462152755456,-0.5961581734574342,-0.4551302363852843,0.5098201843686622,7.959075097011519,8.159128627244868,False,False,8.159128627244868,6.080987368552542
C,6837.0,drill,101.5785,264.3214,93.8524438304138,258.3385666464725,0,0,0,0.6204668679419274,0.25308624115478756,0.48478390262167054,0.7684270144335478,0.052319986283139976,0.49671803967531014,5.836406079438725,5.9828333535274965,0,0,0,0.7499413868443973,0.6137041433571595,0.5906049622348815,-0.6535159184677245,-0.514274804384989,0.37632606993579093,7.583620705383258,7.726056169586201,False,False,7.726056169586201,5.9828333535274965
C,6838.0,drill,101.327,264.2857,94.06091371881456,258.3659224379085,0,0,0,0.5626678580462254,0.2930422932592878,0.485132710353662,0.6446271118613772,-0.07778420473152126,0.24246827972846863,5.433757923735208,5.919777562091497,0,0,0,0.793710423502777,0.6588366841231654,0.6021811734955196,-0.7429503519521936,-0.6064953219766107,0.15861238424315585,6.998197571881317,7.266086281185437,False,False,7.266086281185437,5.919777562091497
C,6839.0,drill,101.0015,264.1451,93.9281666255178,258.32237288892486,0,0,0,0.5089114547507486,0.33724681446905425,0.5007525333143217,0.5213514772367149,-0.20733743039186225,0.03465654069236386,5.032814902832065,5.822727111075153,0,0,0,0.8395534983401919,0.7061078740304847,0.6259443965103382,-0.8400448412154004,-0.7066145233432972,-0.0635571437217573,6.3626329695728785,7.073333374482189,False,False,7.073333374482189,5.822727111075153
C,6840.0,drill,94.1217,258.1665,93.7505241531455,257.88643423472706,0,0,0,0.4547705984077568,0.3810473050480138,0.5253130340828417,0.42585367569379995,-0.30769828654178133,-0.08491815675212533,4.722216809731151,0.2800657652729228,0,0,0,0.8842811176876594,0.7522288594961194,0.6563793763336564,-0.9200697897997531,-0.7891324293797178,-0.23319929379263793,5.838802780983166,0.37117584685449856,False,False,0.37117584685449856,0.2800657652729228
C,6841.0,drill,92.2529,256.1388,93.31573677639989,257.37205539105844,0,0,0,0.3992041699301978,0.42334962878316046,0.5516804654252911,0.34544048733874994,-0.39220637257799096,-0.16845210790644205,4.460680077369628,-1.2332553910584352,0,0,0,0.9240307883920764,0.7932168220026908,0.6651210611404537,-0.990325277242121,-0.8615765335480746,-0.3945408953591757,5.378921882745468,-1.062836776399891,False,False,-1.062836776399891,-1.2332553910584352
C,6842.0,drill,93.8419,257.103,93.05091432614763,256.9608487574274,0,0,0,0.34203667492406936,0.46396935454260385,0.5712358964345289,0.2691056970629509,-0.4724283754129042,-0.2532905279776839,4.212407971479664,0.14215124257259504,0,0,0,0.9583987086064334,0.8286553803658515,0.6421962944775849,-1.0590821517612687,-0.9324753396241384,-0.5892828893946448,4.928850658916569,0.7909856738523615,False,False,0.7909856738523615,0.14215124257259504
C,6843.0,drill,94.7675,258.0122,92.98249816702265,256.62385213309153,0,0,0,0.2875480536332404,0.5028068709238166,0.5748869732835604,0.18829198273138673,-0.5573573834940593,-0.3706815205319992,3.949568564056173,1.3883478669084752,0,0,0,0.9876075115962409,0.8587741033789462,0.6174410674212163,-1.1209532405385114,-0.9962738522181198,-0.8089510810756235,4.523852659220623,1.7850018329773434,False,False,1.7850018329773434,1.3883478669084752
