well_id,Depth(m),mode,SPP Avg(bar),Annular Press(barg),SPP_pred_lr,AP_pred_lr,warning_AP_trend,warning_AP_trend_seg,warning_AP_trend_local,rolling_abs_z_AP_lr_trend,rolling_abs_z_AP_lr_trend_seg,rolling_abs_z_AP_lr_trend_local,z_AP_lr_trend,z_AP_lr_trend_seg,z_AP_lr_trend_local,r_AP_lr_trend_lowess,r_AP_lr,warning_SPP_trend,warning_SPP_trend_seg,warning_SPP_trend_local,rolling_abs_z_SPP_lr_trend,rolling_abs_z_SPP_lr_trend_seg,rolling_abs_z_SPP_lr_trend_local,z_SPP_lr_trend,z_SPP_lr_trend_seg,z_SPP_lr_trend_local,r_SPP_lr_trend_lowess,r_SPP_lr,is_spike_r_SPP_lr,is_spike_r_AP_lr,r_SPP_lr_clean,r_AP_lr_clean
B,5475.0,drill,122.0156,262.1617,117.58472499857359,265.4757837946986,1,1,0,2.2890460444256724,1.849122209265279,0.6250352425706585,-2.2826257563082017,-1.843602504185056,1.409906432650428,-5.528263902461992,-3.314083794698604,0,0,0,0.8623368847382159,1.1992333981600831,0.6450878029947447,1.3724167867454669,2.129580958690944,1.5031798802520113,1.1984263952711736,4.430875001426415,False,True,4.430875001426415,-5.49796100060729
B,5476.0,drill,120.8095,259.7138,119.1963315990879,265.2117610006073,1,1,0,2.288330624748806,1.848507142534217,0.6281877568863176,-2.2877225304579345,-1.8479843465030783,-0.2512107196329393,-5.534345507643177,-5.49796100060729,0,0,0,0.7935456820723149,1.0737633936875381,0.6073912323128494,1.2181160877574597,1.848148033522176,1.1723655437193607,0.6314557139456995,1.6131684009121017,False,False,1.6131684009121017,-5.49796100060729
B,5477.0,drill,120.9391,259.8593,120.51066962504385,265.277981176465,1,1,0,2.284632046028304,1.845327368764001,0.6255530220022705,-2.2912267496054977,-1.850997023796857,-0.48789958056970817,-5.538526834242659,-5.418681176464986,0,0,0,0.7280214329344199,0.9785220407269681,0.5912750931260676,1.0685144413691499,1.5752858285596563,0.9016914162498523,0.08175148099996898,0.4284303749561502,False,False,0.4284303749561502,-5.418681176464986
B,5478.0,drill,121.0185,259.9344,121.28358780258517,265.33885572920855,1,1,0,2.2757161335184404,1.8376621041099737,0.6151902475528884,-2.2929246710017352,-1.8524567753197096,-0.5258479064738153,-5.54055283878146,-5.404455729208564,0,0,0,0.6668801803184522,0.9143323717770685,0.5817060718356575,0.9235920273791678,1.310958193239677,0.6697332906608066,-0.45075913196633277,-0.26508780258517106,False,False,-0.26508780258517106,-5.404455729208564
B,5479.0,drill,120.8683,259.8123,121.91153479782085,265.38895280577043,1,1,0,2.2597338442731996,1.8239216735363835,0.5939196656550485,-2.2928001536968186,-1.852349724236028,-0.5453410761322814,-5.54040426145304,-5.576652805770436,0,0,0,0.6114159233284941,0.8694706929197668,0.574156462716206,0.7829091592166044,1.0543631721685174,0.46059608130357155,-0.967691732635561,-1.043234797820844,False,False,-1.043234797820844,-5.576652805770436
B,5480.0,drill,120.6283,259.7054,123.31354071383757,265.38818009518286,1,1,0,2.236550441629256,1.8039902400852246,0.5622874648078633,-2.2911278717971744,-1.850912015720749,-0.5667395485677101,-5.538408850637002,-5.6827800951828635,0,0,0,0.5676678165976272,0.8373167068052866,0.5665385515511889,0.6456526978526198,0.804017660623022,0.2643395846709592,-1.4720341622308433,-2.6852407138375725,False,False,-2.6852407138375725,-5.6827800951828635
B,5481.0,drill,120.9029,259.7634,124.07379502346784,265.51135886317206,1,1,0,2.2070359753131785,1.778615810358057,0.522462589792332,-2.2884385738395583,-1.8485999494509358,-0.5919815731038455,-5.535199909469059,-5.747958863172073,0,0,0,0.5328156180871443,0.8145825791314547,0.5590393499842794,0.5106936637063116,0.5578624843545126,0.07446130666690873,-1.967934803270113,-3.1708950234678355,False,False,-3.1708950234678355,-5.747958863172073
B,5482.0,drill,120.7061,259.865,124.37964086194502,265.5084650633316,1,1,0,2.172441396494302,1.74887386280665,0.501303919257486,-2.285502048698459,-1.846075334909819,-0.6213551034345398,-5.5316959703130095,-5.6434650633315755,0,0,0,0.5048256907164229,0.7989202305404945,0.5518020051898788,0.37680021387894713,0.3136508541221592,-0.11433532043448733,-2.4599200047081133,-3.673540861945014,False,False,-3.673540861945014,-5.6434650633315755
B,5483.0,drill,120.6744,259.8329,124.56246603615706,265.4748770425275,1,1,0,2.1241606430576376,1.7073655200118496,0.43572763700458067,-2.2826072673338764,-1.8435866086857196,-0.6534078714115908,-5.528241840930767,-5.641977042527515,0,0,0,0.42258196314173657,0.6987277651319559,0.4798940954559098,0.24321606074510715,0.07000335790717935,-0.30581866685768727,-2.950768709952581,-3.8880660361570563,False,False,-3.8880660361570563,-5.641977042527515
B,5484.0,drill,120.6144,259.8393,124.52343859776514,265.402895874694,1,1,0,2.0677122843909927,1.658835253705781,0.463364066937403,-2.251344837543781,-1.8167094048320565,-0.6018404080458469,-5.490938686150434,-5.563595874694045,0,0,0,0.35179612702833046,0.6194336360975446,0.4264661619886491,0.13830319069336486,-0.12134986408183789,-0.4462298404450311,-3.3362661302699728,-3.9090385977651323,False,False,-3.9090385977651323,-5.563595874694045
B,5485.0,drill,121.1907,259.8315,124.49106008827533,265.3822437753522,1,1,0,2.004934777642371,1.6048636380112782,0.4904418018285649,-2.186557008419804,-1.7610094575697008,-0.5115625030590675,-5.413632141716093,-5.550743775352203,0,0,0,0.29192300696414336,0.5600434842933759,0.38678957764424576,0.055467654158775234,-0.272435682278072,-0.48601585893155674,-3.6406414240632157,-3.300360088275326,False,False,-3.300360088275326,-5.550743775352203
B,5486.0,drill,121.0148,259.9906,124.44461026373284,265.3397398431909,1,1,0,1.937867834867133,1.5472042716435648,0.528460398160798,-2.0839286625755524,-1.6727769372268932,-0.35994326477880884,-5.291173295887974,-5.349139843190926,0,0,0,0.2427902116917096,0.5202428809697411,0.36066010122217684,-0.0013090964389554343,-0.37599222548944705,-0.49111076240223944,-3.8492649311566205,-3.429810263732847,False,False,-3.429810263732847,-5.349139843190926
B,5487.0,drill,120.7851,260.0315,124.44936963337145,265.3245877118876,1,0,0,1.8683678013602933,1.4874531076764077,0.5755459742502648,-1.9583496099019344,-1.5648130386713164,-0.18270105464164163,-5.14132906207427,-5.293087711887608,0,0,0,0.20424501656264377,0.49975326779979895,0.35084550111378016,-0.04269053582722377,-0.4514688734315255,-0.4751236175709828,-4.0013190892911785,-3.664269633371447,False,False,-3.664269633371447,-5.293087711887608
B,5488.0,drill,120.6198,260.0354,124.48079991651731,265.29797681341336,1,0,0,1.798687764247204,1.4275471894674316,0.6236783002990002,-1.8233479132041726,-1.4487482239048806,0.004739214590424087,-4.980241481187653,-5.262576813413375,0,0,0,0.1759836399956805,0.49802056991811694,0.360473050508301,-0.07973703745086658,-0.5190389193716392,-0.4615497296144571,-4.137444721929528,-3.860999916517315,False,False,-3.860999916517315,-5.262576813413375
B,5489.0,low_pressure_event,119.5476,259.6761,124.57558365376102,265.21457574597235,0,0,0,1.7323160176683117,1.370485503126925,0.6585182715059037,-1.688117293030027,-1.3324865970869515,0.20508253176964292,-4.81888074277842,-5.538475745972335,0,0,0,0.15780265504875224,0.514673751809369,0.3939026889620191,-0.11296670752632307,-0.5796473502670537,-0.450479178068269,-4.25954558606344,-5.027983653761012,False,False,-5.027983653761012,-5.538475745972335
B,5490.0,low_pressure_event,98.4214,256.6495,124.64689592134383,263.88159619654084,0,0,0,1.6730308338097215,1.3195163371738021,0.6682342093396586,-1.5584144547582424,-1.2209773622630515,0.4262621988568479,-4.6641158993549645,-7.2320961965408515,0,0,0,0.14989298075474541,0.5500610354987827,0.4459947264098851,-0.13876087312517235,-0.6266939775628638,-0.4245612342424765,-4.354325037742647,-26.22549592134382,True,False,-6.897252641276054,-7.2320961965408515
B,5491.0,low_pressure_event,115.8332,259.5213,124.5997216287911,263.58360365485754,0,0,0,1.622650991982142,1.2762033481321073,0.6518839784447372,-1.44099715045826,-1.1200303519120505,0.6657571686252745,-4.524010478707866,-4.062303654857544,0,0,0,0.15231125877017274,0.6042857311280703,0.5143953566229983,-0.15632854605636803,-0.658736098006005,-0.3709465417104519,-4.418876627958562,-8.766521628791097,False,False,-8.766521628791097,-4.062303654857544
B,5492.0,low_pressure_event,120.9746,260.1375,124.54287097029884,263.5767566836563,0,0,0,1.582854614562923,1.2419892657426275,0.6209783758407751,-1.3495641483761698,-1.0414227883793112,0.8940656039371364,-4.41491021197878,-3.4392566836563105,0,0,0,0.16246291035411564,0.6564355394067936,0.5915107420898537,-0.17041764040634275,-0.6844335514971284,-0.3065426510838015,-4.470646344332205,-3.5682709702988404,False,False,-3.5682709702988404,-3.4392566836563105
