well_id,Depth(m),mode,SPP Avg(bar),Annular Press(barg),SPP_pred_lr,AP_pred_lr,warning_AP_trend,warning_AP_trend_seg,warning_AP_trend_local,rolling_abs_z_AP_lr_trend,rolling_abs_z_AP_lr_trend_seg,rolling_abs_z_AP_lr_trend_local,z_AP_lr_trend,z_AP_lr_trend_seg,z_AP_lr_trend_local,r_AP_lr_trend_lowess,r_AP_lr,warning_SPP_trend,warning_SPP_trend_seg,warning_SPP_trend_local,rolling_abs_z_SPP_lr_trend,rolling_abs_z_SPP_lr_trend_seg,rolling_abs_z_SPP_lr_trend_local,z_SPP_lr_trend,z_SPP_lr_trend_seg,z_SPP_lr_trend_local,r_SPP_lr_trend_lowess,r_SPP_lr,is_spike_r_SPP_lr,is_spike_r_AP_lr,r_SPP_lr_clean,r_AP_lr_clean,z_AP_predSPP_trend,rolling_abs_z_AP_predSPP_trend,warning_AP_predSPP_trend,z_common,rolling_abs_z_common,warning_common,z_diff,rolling_abs_z_diff,warning_diff,r_AP_lr_predSPP,r_AP_lr_predSPP_clean,r_AP_lr_predSPP_trend_lowess
D,2195.0,drill,105.2755,246.3272,128.0730311023789,257.4445308596992,1,1,0,1.8946003838816865,2.3390557943783064,0.6658511497868415,-2.044937722365995,-3.058804381583008,-1.4683200318374456,-11.66722686692448,-11.117330859699223,1,1,0,1.9845856457116289,2.8843071786015186,0.71415256086478,-2.0079939946261556,-2.9795701111653785,-1.450536718035163,-24.429604228587028,-22.797531102378912,False,False,-22.797531102378912,-11.117330859699223,-3.0748883927017725,3.05731850788482,1,-3.594140604053245,3.5651646171006695,1,0.7544082636892085,0.7585366812443176,0,-20.187112072582124,-20.187112072582124,-17.809995450815226
D,2196.0,drill,105.7036,246.3835,129.88341399266145,257.88316547764936,1,1,0,1.873460008845529,2.2378450424875513,0.5987192485385262,-2.001817066618529,-2.8523617814513145,-1.1616594985757787,-11.454256103069055,-11.499665477649359,1,1,0,1.9811565239398317,2.8703519783739093,0.6604059898938065,-2.0013811517647726,-2.9526583966373883,-1.1468031345025538,-24.330907946775813,-24.17981399266145,False,False,-24.17981399266145,-11.499665477649359,-3.0697441285659512,3.0548898468275802,1,-3.5858270739683866,3.561022539139539,1,0.7554467056647596,0.7592441137998919,0,-21.119374809190134,-21.119374809190134,-17.779395152431917
D,2197.0,low_pressure_event,105.3237,246.4322,130.09903291122993,257.85884274413024,0,0,0,1.8524726915877725,2.1373670634453465,0.5564355542782142,-1.9586618489970382,-2.645753714375408,-0.906194278545754,-11.241114639844994,-11.426642744130248,0,0,0,1.9776215463624163,2.8559659859315665,0.6139933283684079,-1.9946814134397428,-2.925393051158163,-0.8960072275749362,-24.23091475539817,-24.775332911229924,False,False,-24.775332911229924,-11.426642744130248,-3.064662187377564,3.0524805292003423,1,-3.5774961684906827,3.556819287690954,0,0.7565906609906636,0.7600400755839726,0,-21.283273621047698,-21.283273621047698,-17.749165577778427
D,2198.0,low_pressure_event,89.2505,245.9105,130.44443988694198,251.48960811052544,0,0,0,1.8316493300175802,2.0376740316137183,0.5242704830468714,-1.9155649667005519,-2.439424930996947,-0.6898232104899895,-11.028261291875921,-5.579108110525425,0,0,0,1.9739245694569705,2.840920718838207,0.5789521562479761,-1.9879598719504163,-2.8980389752273523,-0.6927319138384364,-24.1305961531053,-41.193939886941976,True,True,-24.856334233597536,-11.113877012512233,-3.0596427872262533,3.0500900430328954,1,-3.5691940690390727,3.552514801271889,0,0.7577942566733126,0.7609639040443685,0,-21.96772582502132,-21.96772582502132,-17.719308024145867
D,2199.0,low_pressure_event,105.3476,247.2863,130.28493555596515,258.08741128089423,0,0,0,1.8109747812869648,1.9386934497437753,0.5005385279524884,-1.8726193917086122,-2.233820539973566,-0.5043865282667098,-10.81615524312268,-10.801111280894219,0,0,0,1.9700280607099963,2.8250634342705134,0.5516492494439909,-1.9812586538378034,-2.8707676075846127,-0.5312027074541815,-24.030580875987017,-24.93733555596515,False,False,-24.93733555596515,-10.801111280894219,-3.0546857051130227,3.0477178248309564,1,-3.56095040589227,3.5480821419369057,0,0.7590275470657873,0.762041740225262,0,-20.722193371281236,-20.722193371281236,-17.689821165040176
D,2200.0,low_pressure_event,106.8947,247.6117,130.65732377697276,258.638461630499,0,0,0,1.7903646747901787,1.840021388745779,0.48471111392043154,-1.8299237441337457,-2.0294126907218812,-0.3413881813133797,-10.605283573392665,-11.02676163049901,0,0,0,1.9659859636021535,2.808613661345177,0.5307699493965493,-1.9745778850083142,-2.8435794606203726,-0.4065882205210933,-23.930870803188924,-23.76262377697276,False,False,-23.76262377697276,-11.02676163049901,-3.0497902371784256,3.045363268701512,1,-3.5527647703757634,3.5435590250559206,0,0.7602899454350239,0.7632350118946177,0,-20.48049579729681,-20.48049579729681,-17.660700813602258
D,2201.0,drill,97.3181,247.166,130.83227104674862,254.8086993988205,1,1,0,1.7709831661887934,1.7472313102836752,0.4695154560342058,-1.787584667248203,-1.8267119439935404,-0.19430629945620445,-10.396172988478208,-7.642699398820497,1,1,0,1.9611591173897314,2.7889702628761484,0.507149109531312,-1.9678573400639119,-2.816229440242229,-0.32150164993482455,-23.83056707426908,-33.514171046748615,False,False,-33.514171046748615,-7.642699398820497,-3.044955278085669,3.043025725791711,1,-3.5445937951110595,3.5384930369245375,1,0.7616232559772321,0.764995215140331,0,-20.975994024457748,-20.975994024457748,-17.63194039481287
D,2202.0,drill,100.702,247.7481,130.55260982358948,256.23756986174544,1,1,0,1.7523468779956655,1.6580090170531512,0.45703926880988066,-1.745693663280817,-1.6261563719307863,-0.06073116980946964,-10.189275413314848,-8.489469861745448,1,1,0,1.9552880995249957,2.7650774893630863,0.477873411653584,-1.9609748550019142,-2.7882203861766524,-0.2678489150570514,-23.727846398838068,-29.85060982358948,False,False,-29.85060982358948,-8.489469861745448,-3.040179346829903,3.0407045066666094,1,-3.5363500498748737,3.5327002505959366,1,0.7631128144585531,0.7675053019009737,0,-20.365251452096715,-20.365251452096715,-17.603531099017392
D,2203.0,drill,108.4527,248.5727,130.48649304851452,259.15003159878205,1,0,0,1.7134563512941967,1.471818401127418,0.3807942538069136,-1.7043370085562697,-1.4281590273615097,0.06166403855200355,-9.985016962358673,-10.577331598782052,1,1,0,1.9445774255570578,2.721489186076647,0.38381056373196126,-1.9537235497654555,-2.758710376553033,-0.23043342212601892,-23.619621104495145,-22.033793048514525,False,False,-22.033793048514525,-10.577331598782052,-3.035460558369663,3.0359662610218887,1,-3.5278859154504993,3.52177621477582,1,0.7649035742444857,0.771728446468471,0,-19.343266881094905,-19.343266881094905,-17.575461713177425
D,2204.0,drill,101.5011,248.381,120.25841017120985,259.2186807686098,1,0,0,1.67560493763755,1.290602598202213,0.3281951789276231,-1.6635868362679629,-1.2330652520655048,0.17588230593540746,-9.783753897847163,-10.837680768609772,1,1,0,1.9328233489090807,2.6736546371661176,0.3130113914968965,-1.9458067481656762,-2.726492053950485,-0.19627937463982018,-23.501463316972597,-18.757310171209852,False,False,-18.757310171209852,-10.837680768609772,-3.0307966705552016,3.031280408801993,1,-3.5189900246536876,3.5101514295911227,1,0.7672037316406992,0.7767264358925157,0,-18.30009845897561,-18.30009845897561,-17.547718900020726
