well_id,Depth(m),mode,SPP Avg(bar),Annular Press(barg),SPP_pred_lr,AP_pred_lr,warning_AP_trend,warning_AP_trend_seg,warning_AP_trend_local,rolling_abs_z_AP_lr_trend,rolling_abs_z_AP_lr_trend_seg,rolling_abs_z_AP_lr_trend_local,z_AP_lr_trend,z_AP_lr_trend_seg,z_AP_lr_trend_local,r_AP_lr_trend_lowess,r_AP_lr,warning_SPP_trend,warning_SPP_trend_seg,warning_SPP_trend_local,rolling_abs_z_SPP_lr_trend,rolling_abs_z_SPP_lr_trend_seg,rolling_abs_z_SPP_lr_trend_local,z_SPP_lr_trend,z_SPP_lr_trend_seg,z_SPP_lr_trend_local,r_SPP_lr_trend_lowess,r_SPP_lr,is_spike_r_SPP_lr,is_spike_r_AP_lr,r_SPP_lr_clean,r_AP_lr_clean,z_AP_predSPP_trend,rolling_abs_z_AP_predSPP_trend,warning_AP_predSPP_trend,z_common,rolling_abs_z_common,warning_common,z_diff,rolling_abs_z_diff,warning_diff,r_AP_lr_predSPP,r_AP_lr_predSPP_clean,r_AP_lr_predSPP_trend_lowess
A,2200.0,drill,87.0945,247.4344,111.7640420905506,248.14423815208,0,0,0,0.03937233420406452,0.4706458648154235,0.7587900253758423,-0.044156527173743465,0.461730371106824,-1.6479193146384181,-0.7335101176696825,-0.7098381520799819,1,1,0,3.3862439626099694,2.3843810369949097,0.7185803816950433,-3.497366009734587,-2.4605850429588845,-1.41893448608541,-25.86447033233959,-24.669542090550607,False,False,-24.669542090550607,-0.7098381520799819,-4.842667876372436,4.584618172272916,1,-5.897294516191869,5.636250667478769,1,0.9512720726425431,0.847378530051739,0,-8.53884712115999,-8.53884712115999,-9.013787959281373
A,2201.0,drill,86.7656,247.3865,112.65530587497584,248.0658031460461,0,0,0,0.038842781799034366,0.47163270233751803,0.7316409011037291,-0.04258131383003914,0.4646658305969625,-1.1780392099755792,-0.7307950277134009,-0.6793031460460952,1,1,0,3.36946424568322,2.3728740347226616,0.6617855847099511,-3.4676433621082317,-2.440202185770843,-1.1335700607107946,-25.644920192963117,-25.88970587497583,False,False,-25.88970587497583,-0.6793031460460952,-4.768698766117699,4.5479308921244606,1,-5.823973371040996,5.5984437912772105,1,0.9199850988744973,0.833301757100771,0,-8.895537511404143,-8.895537511404143,-8.887712597366555
A,2202.0,drill,86.878,247.3578,112.05077077098208,248.14317385182645,0,0,0,0.03813579937278787,0.4729501862712219,0.7086075842524724,-0.041000728116373314,0.4676113016670886,-0.781358256602303,-0.7280706777620956,-0.7853738518264493,1,1,0,3.351233645418914,2.3603720622769053,0.6061076184859694,-3.436715759282483,-2.4189930081938518,-0.8966277790090738,-25.41646949784562,-25.172770770982083,False,False,-25.172770770982083,-0.7853738518264493,-4.694840752045524,4.511292440774341,1,-5.749878750761659,5.5596455128033755,1,0.889628713963022,0.8202854407709195,0,-8.774085090131223,-8.774085090131223,-8.761826591405534
A,2203.0,drill,86.8792,247.3962,112.32926100618737,248.1325219567413,0,0,0,0.037070412022264014,0.47493556902668677,0.6892238689969996,-0.03952173351042206,0.4703674545204497,-0.5543551029024222,-0.7255214336130016,-0.7363219567413068,1,1,0,3.331527590221533,2.346858269230026,0.558148313956956,-3.4046894618995007,-2.3970303804352047,-0.7052306066465559,-25.179903154815282,-25.45006100618737,False,False,-25.45006100618737,-0.7363219567413068,-4.621101180846365,4.474703988345842,1,-5.675090987869141,5.519839284717558,1,0.8601329751821124,0.8083477832061118,0,-8.813032710014426,-8.813032710014426,-8.636142463336924
A,2204.0,drill,86.8107,247.402,111.9159041117062,248.1591450598524,0,0,0,0.03549688612254082,0.4778678839120209,0.6704107380129075,-0.03823537370828277,0.4727646263727669,-0.4691585300067832,-0.7233042211998947,-0.7571450598524052,1,1,0,3.310341416976725,2.3323294577648217,0.5153353958522265,-3.3717394317069695,-2.3744342857602305,-0.5533047733863133,-24.936513541205805,-25.1052041117062,False,False,-25.1052041117062,-0.7571450598524052,-4.547487584251692,4.4381665853552414,1,-5.5997391247400765,5.479022552527162,1,0.8313794916319284,0.7974928245533088,0,-8.724413663367216,-8.724413663367216,-8.510673050489274
A,2205.0,low_pressure_event,86.7474,247.4295,111.31263859178036,248.2259500788403,0,0,0,0.03333337380423291,0.48189965699989573,0.6508442468503065,-0.03721254709948249,0.47467069585063726,-0.45908195651186146,-0.7215412433380892,-0.7964500788403086,0,0,0,3.28773160561663,2.316824360042883,0.47612073249692133,-3.3380676852236326,-2.3513432607455806,-0.43381648609038537,-24.687792877878667,-24.565238591780357,False,False,-24.565238591780357,-0.7964500788403086,-4.474007336686991,4.401681149093428,1,-5.523971223131047,5.437235902197813,0,0.8032306305684237,0.7876812760921031,0,-8.59235778384405,-8.59235778384405,-8.385430922073692
A,2206.0,low_pressure_event,77.3287,246.6162,110.26155058918847,245.44937026618453,0,0,0,0.03144409331307528,0.48725289323446397,0.6289331049048259,-0.036462580597112486,0.4760682819588725,-0.47831656812335616,-0.7202485762042875,1.1668297338154616,0,0,0,3.2638927384056275,2.3004764144629712,0.4443362596565245,-3.3039413762088152,-2.3279405110394205,-0.3400628325979794,-24.435714530256494,-32.932850589188476,True,True,-26.323335884590918,-0.726357625480072,-4.400667490191848,4.3652484386833885,1,-5.447981175821908,5.394617460949162,0,0.7755024723017732,0.7787760841648631,0,-9.284583660634496,-9.284583660634496,-8.260428097816249
A,2207.0,low_pressure_event,81.2895,247.3616,109.37093317740148,246.63358890483056,0,0,0,0.03120217743595744,0.4944928491541764,0.6010010944207618,-0.035807869597060414,0.47728835644978646,-0.5020912642460152,-0.7191200946131348,0.7280110951694496,0,0,0,3.239073240345383,2.283455983080127,0.41880349111644743,-3.269788614715534,-2.304519621055261,-0.26709602903383406,-24.183440788017844,-28.08143317740148,False,True,-28.08143317740148,-0.6562651721198355,-4.327474391670774,4.328869018421265,1,-5.3720761902734555,5.351343290802134,0,0.747896785249612,0.7706019847859259,0,-8.183779460306909,-8.183779460306909,-8.135675395587814
A,2208.0,low_pressure_event,87.0179,247.5945,110.5694135703055,248.1806727187596,0,0,0,0.03192417974269765,0.5068099329531826,0.4926009932423923,-0.03460636255879319,0.47952740251427417,-0.5144479069268235,-0.7170491372377169,-0.5861727187595989,0,0,0,3.194558318790667,2.2529290495379715,0.32984328545742375,-3.2352265102692233,-2.2808180165446768,-0.2074272088292131,-23.928143381685732,-23.551513570305502,False,False,-23.551513570305502,-0.5861727187595989,-4.2544326509368195,4.255868280423409,1,-5.295988781664742,5.268247171036901,0,0.7206875734930276,0.7504594708113467,0,-8.06036945498343,-8.06036945498343,-8.011180672503972
A,2209.0,drill,87.0595,247.5718,110.65395213171875,248.26468359752812,0,0,0,0.034581507604124914,0.5223421620477465,0.42490193053227293,-0.03177295753656937,0.4848075416745568,-0.5013077325911618,-0.712165386380308,-0.6928835975281231,1,1,0,3.147998084750916,2.220999505003301,0.26074928360722427,-3.1871582430401633,-2.2478543102651,-0.10500592247013425,-23.57308097599453,-23.594452131718754,False,False,-23.594452131718754,-0.6928835975281231,-4.18154637862326,4.1830163912701925,1,-5.210461006538859,5.183810048971269,1,0.7031385938022556,0.7318684631919973,0,-8.180707112116608,-8.180707112116608,-7.886950934862027
