well_id,Depth(m),mode,SPP Avg(bar),Annular Press(barg),SPP_pred_lr,AP_pred_lr,warning_AP_trend,warning_AP_trend_seg,warning_AP_trend_local,rolling_abs_z_AP_lr_trend,rolling_abs_z_AP_lr_trend_seg,rolling_abs_z_AP_lr_trend_local,z_AP_lr_trend,z_AP_lr_trend_seg,z_AP_lr_trend_local,r_AP_lr_trend_lowess,r_AP_lr,warning_SPP_trend,warning_SPP_trend_seg,warning_SPP_trend_local,rolling_abs_z_SPP_lr_trend,rolling_abs_z_SPP_lr_trend_seg,rolling_abs_z_SPP_lr_trend_local,z_SPP_lr_trend,z_SPP_lr_trend_seg,z_SPP_lr_trend_local,r_SPP_lr_trend_lowess,r_SPP_lr,is_spike_r_SPP_lr,is_spike_r_AP_lr,r_SPP_lr_clean,r_AP_lr_clean
D,2195.0,drill,105.2755,246.3272,129.83527932204453,258.0638413988718,1,0,0,1.7887319361578575,1.5021935236727562,0.6675717962224521,-1.9811177976626098,-2.4475104944469512,-1.4746596744460294,-11.673229142790817,-11.736641398871768,1,1,0,2.0802780978515454,2.746574156805887,0.7451061203495492,-2.08610696295331,-2.773229397812872,-1.3394115478371238,-25.687024576533364,-24.559779322044534,False,False,-24.559779322044534,-11.736641398871768
D,2196.0,drill,105.7036,246.3835,131.18011419622687,258.20918893323466,1,0,0,1.7618066921474709,1.3698922729146483,0.6006512068138967,-1.9251424235223558,-2.1724670442352525,-1.1604471515620318,-11.374931890800811,-11.825688933234659,1,1,0,2.0792365691252845,2.7418112743700283,0.7081746843012859,-2.0846579571134676,-2.76660313365901,-1.0807474575181077,-25.664863487002133,-25.476514196226873,False,False,-25.476514196226873,-11.825688933234659
D,2197.0,low_pressure_event,105.3237,246.4322,131.54108197095476,258.3367111079948,0,0,0,1.7349934822574604,1.2381415187183429,0.5601837488378816,-1.8697077579650998,-1.9000804472650208,-0.9022484933351238,-11.079516118156198,-11.904511107994807,0,0,0,2.0780567083486896,2.7364158032438723,0.6772633812612899,-2.0830744500886826,-2.759361799257718,-0.8672084093509839,-25.64064533688521,-26.21738197095476,False,False,-26.21738197095476,-11.904511107994807
D,2198.0,low_pressure_event,89.2505,245.9105,131.9252368804591,256.74888266814804,0,0,0,1.7082954642765222,1.1442096203144585,0.5318005262445822,-1.8148155722151496,-1.6303594067142544,-0.6866558112862392,-10.786991263853173,-10.838382668148029,0,0,0,2.076684222292467,2.7301394619718344,0.6539458780040185,-2.081401304008216,-2.7517105479015602,-0.7056667054780953,-25.61505624740846,-42.67473688045909,True,False,-26.263569990728243,-10.838382668148029
D,2199.0,low_pressure_event,105.3476,247.2863,131.65735801050172,257.2305460430424,0,0,0,1.6817206322800888,1.0871918689421862,0.5143253246739058,-1.760412572726697,-1.363042056701069,-0.5038880898307386,-10.497073322317723,-9.944246043042398,0,0,0,2.0750800075975717,2.72280343196036,0.6356797048960411,-2.0796610484103253,-2.743752406554028,-0.5934666166601491,-25.588440785240074,-26.309758010501724,False,False,-26.309758010501724,-9.944246043042398
D,2200.0,low_pressure_event,106.8947,247.6117,132.21090368588304,257.49972060938273,0,0,0,1.6553078594349666,1.0582389231298666,0.5074912552739019,-1.7064227479589513,-1.0977549030459954,-0.34503654514653526,-10.209357221961035,-9.888020609382721,0,0,0,2.073286522549096,2.714601873788242,0.6220567387142909,-2.0778383098612454,-2.7354170729221448,-0.5030117166595273,-25.560563829145412,-25.31620368588304,False,False,-25.31620368588304,-9.888020609382721
D,2201.0,drill,97.3181,247.166,132.5175638204602,256.8955207466343,1,0,0,1.629877963261134,1.0471330490217599,0.5077339498591078,-1.6527842903697088,-0.834194245060687,-0.2014196857348228,-9.923513585440396,-9.729520746634307,1,1,0,2.0706265548475837,2.7024379140951034,0.6019033105171232,-2.0758650638436267,-2.7263934727448507,-0.44758473667233595,-25.530385012427626,-35.199463820460196,False,False,-35.199463820460196,-9.729520746634307
D,2202.0,drill,100.702,247.7481,132.43392044951253,256.616035549037,1,0,0,1.605810425761112,1.0474742875980283,0.5133976731828105,-1.5994523268422876,-0.5721395919128197,-0.06621891843809591,-9.63930328032302,-8.867935549037014,1,1,0,2.0668129734483074,2.6849985104508676,0.5723936381728706,-2.0736196865334904,-2.7161254235949097,-0.42375177262006986,-25.49604422080822,-31.73192044951253,False,False,-31.73192044951253,-8.867935549037014
D,2203.0,drill,108.4527,248.5727,132.57728629125967,258.09454104579964,1,0,0,1.5568799305793344,0.9615669290435872,0.45960955321945524,-1.5464047400643766,-0.31148226684978586,0.06528649154545367,-9.356608441680171,-9.521841045799647,1,1,0,2.0604138585294787,2.6557355325958563,0.4840744031773898,-2.0709043393151982,-2.7037082148831626,-0.41272319591518075,-25.45451571128923,-24.124586291259675,False,False,-24.124586291259675,-9.521841045799647
D,2204.0,drill,101.5011,248.381,122.39712824898048,260.47357467601313,1,0,0,1.5106575006090048,0.899025543323759,0.43222983396675635,-1.4936745932473687,-0.05238473095159218,0.1959766270537447,-9.075605266013472,-12.092574676013129,1,1,0,2.052809689542006,2.6209618753778186,0.415194847711132,-2.0674379613593343,-2.6878565631084657,-0.3990616539013261,-25.401500940667354,-20.896028248980485,False,False,-20.896028248980485,-12.092574676013129
D,2205.0,low_pressure_event,87.8835,247.6493,113.83011787122123,261.2443274373263,0,0,0,1.4674032649591724,0.8582176996963908,0.42918189783619254,-1.4413152844671382,0.20489063627561707,0.2479683003115892,-8.796578315946032,-13.595027437326308,0,0,0,2.0442131441202385,2.5816501078134357,0.3609308182114251,-2.0629593617302397,-2.667376049251458,-0.42077084543130344,-25.333005255815095,-25.946617871221235,False,False,-25.946617871221235,-13.595027437326308
D,2206.0,low_pressure_event,75.6742,247.0097,114.01118102905912,259.67987472243425,0,0,0,1.4274891311811682,0.8369605667466975,0.4482334126463931,-1.3893974803193232,0.45999660384718905,0.32209810739646544,-8.519904179425858,-12.67017472243424,0,0,0,2.034694253104173,2.538120479022464,0.31634992332120077,-2.057433645953724,-2.6421071018341373,-0.43475180070829034,-25.248494980783452,-38.33698102905912,False,False,-38.33698102905912,-12.67017472243424
D,2207.0,low_pressure_event,74.0043,247.0516,114.04963941538018,257.68780759897646,0,0,0,1.391429241365742,0.8324073376313599,0.4837498161065142,-1.3383545852935002,0.7108035733820289,0.4254824224738544,-8.247892503690263,-10.636207598976455,0,0,0,2.0243330301585,2.4907388893094975,0.2770250349923001,-2.0517647019673855,-2.6161831757228247,-0.4585811445332889,-25.161794174082445,-40.045339415380184,True,False,-29.985788124242006,-10.636207598976455
D,2208.0,low_pressure_event,92.2592,248.6763,113.8937952194249,256.3931541169308,0,0,0,1.3596584419194964,0.8421506360445713,0.5249562780482819,-1.2992893130013092,0.9027566856163742,0.5108889794667846,-8.039710538817577,-7.7168541169308185,0,0,0,2.013127954307526,2.4394983832942074,0.24549779883437764,-2.0360469747279266,-2.5443064380843055,-0.33990874395394294,-24.921407316415202,-21.634595219424895,False,False,-21.634595219424895,-7.7168541169308185
D,2209.0,low_pressure_event,92.7678,248.966,113.73423350262418,255.62078567986214,0,0,0,1.332397564173966,0.864875174482139,0.5583086680606876,-1.2688649007608046,1.052251627665786,0.5926897997146481,-7.877576409226703,-6.65478567986213,0,0,0,2.0008489824104094,2.383346979972731,0.2175964480520232,-2.0134228338584395,-2.4408468594315695,-0.15925822535333362,-24.575393796255376,-20.966433502624184,False,False,-20.966433502624184,-6.65478567986213
D,2210.0,low_pressure_event,91.1971,249.062,113.64378286608809,255.7739098350242,0,0,0,1.3096335623501816,0.9004442547032754,0.5795647590113158,-1.247160369935944,1.1589001161303378,0.6678378749957009,-7.761911226095174,-6.711909835024187,0,0,0,1.9872262370534117,2.3210505372985555,0.1904018205930914,-1.9901202391708763,-2.3342847299876945,-0.01462302290491157,-24.219004006109763,-22.446682866088082,False,False,-22.446682866088082,-6.711909835024187
D,2211.0,low_pressure_event,81.2043,248.49,113.47415229188434,255.95912855978034,0,0,0,1.2913140906029155,0.9489287755086955,0.5842201601006951,-1.2318059739674163,1.2343462584378255,0.7497513627715491,-7.680086420209965,-7.46912855978033,0,0,0,1.9720795073206479,2.251784955672334,0.16992729357982814,-1.9705954223013762,-2.244998275388453,0.04755412552424114,-23.92039153483563,-32.269852291884334,False,False,-32.269852291884334,-7.46912855978033
