well_id,Depth(m),mode,SPP Avg(bar),Annular Press(barg),SPP_pred_lr,AP_pred_lr,warning_AP_trend,warning_AP_trend_seg,warning_AP_trend_local,rolling_abs_z_AP_lr_trend,rolling_abs_z_AP_lr_trend_seg,rolling_abs_z_AP_lr_trend_local,z_AP_lr_trend,z_AP_lr_trend_seg,z_AP_lr_trend_local,r_AP_lr_trend_lowess,r_AP_lr,warning_SPP_trend,warning_SPP_trend_seg,warning_SPP_trend_local,rolling_abs_z_SPP_lr_trend,rolling_abs_z_SPP_lr_trend_seg,rolling_abs_z_SPP_lr_trend_local,z_SPP_lr_trend,z_SPP_lr_trend_seg,z_SPP_lr_trend_local,r_SPP_lr_trend_lowess,r_SPP_lr,is_spike_r_SPP_lr,is_spike_r_AP_lr,r_SPP_lr_clean,r_AP_lr_clean,z_AP_predSPP_trend,rolling_abs_z_AP_predSPP_trend,warning_AP_predSPP_trend,z_common,rolling_abs_z_common,warning_common,z_diff,rolling_abs_z_diff,warning_diff,r_AP_lr_predSPP,r_AP_lr_predSPP_clean,r_AP_lr_predSPP_trend_lowess
B,5475.0,drill,122.0156,262.1617,117.69157223909636,265.50883215444713,1,1,0,2.235219155726904,1.6919802601885983,0.6395292311780444,-2.2385881884500107,-1.6947296420471467,-0.5623406146573975,-5.522977721314461,-3.347132154447138,0,0,0,0.44969904071333605,0.4148672779566093,0.6425370057358377,0.7198990293245644,0.8944911097151473,1.502694027075459,-1.1375165250248886,4.324027760903647,True,True,0.09153596892362259,-5.259806786974423,-0.963897075854945,1.157152655991081,0,-0.17253267329790287,0.5002452487378324,0,1.1906236441079283,1.1362157311008028,1,-2.079314599237989,-5.232968173822201,-5.755772309560447
B,5476.0,drill,120.8095,259.7138,120.71796403107638,264.9736067869744,1,1,0,2.2326251630653786,1.6898633687984104,0.6384297015239275,-2.241996136096741,-1.6975107813844228,-0.7112749167027339,-5.526896159729882,-5.259806786974423,0,0,0,0.413383168387115,0.39261615631876784,0.6039573167715976,0.6374208920955269,0.7412753684892031,1.173026224412687,-1.4294176812955854,0.09153596892362259,False,False,0.09153596892362259,-5.259806786974423,-1.0264999406195554,1.1804573095323596,0,-0.27512043362895033,0.5424033268766493,0,1.1765697041704015,1.1270154100664682,1,-5.232968173822201,-5.232968173822201,-5.868445090931739
B,5477.0,drill,120.9391,259.8593,122.8564879684381,265.410625448309,1,1,0,2.2265078096332394,1.6848711523579767,0.6151710553977943,-2.242571818729398,-1.6979805813289746,-0.6752236961972897,-5.527558076278118,-5.551325448309001,0,0,0,0.37989747625949233,0.3830502231484871,0.5801521348026599,0.5587172819090458,0.5950713879313825,0.904214500904716,-1.707960281649365,-1.9173879684381063,False,False,-1.9173879684381063,-5.551325448309001,-1.0841508297588758,1.1987256727352553,0,-0.37153762474752106,0.5789989703547627,0,1.1616831823555254,1.1162551335922477,1,-6.113509194794631,-6.113509194794631,-5.972205295073823
B,5478.0,drill,121.0185,259.9344,123.35020928780202,265.51766364433644,1,1,0,2.216866317241281,1.6770029758068927,0.5745416686967262,-2.24074562918016,-1.6964902745170196,-0.6446486367310745,-5.525458334138464,-5.583263644336455,0,0,0,0.3495280879984819,0.3807445016740612,0.555946698572202,0.4829678276961299,0.4543552034416269,0.6697824257200916,-1.976047728995833,-2.3317092878020134,False,False,-2.3317092878020134,-5.583263644336455,-1.1376868677049161,1.2128972375709313,0,-0.46295627296215924,0.6104941803299415,0,1.1459759250798982,1.1048015428077311,1,-6.266927610476614,-6.266927610476614,-6.068559580483288
B,5479.0,drill,120.8683,259.8123,124.11509196336893,265.5717689492974,1,1,0,2.2044297291089774,1.6668537927613618,0.5336434692161932,-2.2371304056866594,-1.6935399826366655,-0.6289576850078591,-5.5213015711580065,-5.7594689492974,0,0,0,0.3221293561784302,0.38270724867900213,0.528963016086144,0.4091117899145396,0.3171563292564111,0.45387841628344777,-2.237434122412444,-3.2467919633689206,False,False,-3.2467919633689206,-5.7594689492974,-1.1882906195256746,1.2237764296322455,0,-0.550962634175031,0.6375607598761979,0,1.1295340759989052,1.0931204642222472,1,-6.711437825743985,-6.711437825743985,-6.15963633051551
B,5480.0,drill,120.6283,259.7054,124.22734869245936,265.4675349415482,1,1,0,2.190005831954237,1.6550828174025227,0.5193718677540524,-2.23239828081989,-1.68967821597235,-0.6246925264653,-5.51586060146403,-5.762134941548197,0,0,0,0.2978287605287107,0.38822122357862615,0.5003575649141707,0.33606945122407605,0.18146902545300017,0.2491305125872075,-2.495940725941261,-3.5990486924593625,False,False,-3.5990486924593625,-5.762134941548197,-1.2372844654521744,1.2321465911229124,0,-0.6372552478678192,0.6613392960355513,0,1.112529223688191,1.0811791239622477,1,-6.817386518702506,-6.817386518702506,-6.247815568180939
B,5481.0,drill,120.9029,259.7634,124.25706891424268,265.54061570815867,1,1,0,2.1742006324500562,1.642184596352458,0.528177750355627,-2.227079855172321,-1.6853379841630312,-0.6294797155626368,-5.5097455065367384,-5.777215708158678,0,0,0,0.2794692915427321,0.39753517124171855,0.4730678893519829,0.2630714484012766,0.04586408229757764,0.05259689587713962,-2.7542904189060153,-3.3541689142426776,False,False,-3.3541689142426776,-5.777215708158678,-1.285793585336227,1.2387729253746689,0,-0.7231737582963003,0.6830796204836636,0,1.0952129684985195,1.0688098512817872,1,-6.760667819882656,-6.760667819882656,-6.335122394789606
B,5482.0,drill,120.7061,259.865,124.23226094013448,265.3708289811646,1,1,0,2.157667878828076,1.6286926369041663,0.5565845779629964,-2.2212429316800515,-1.6805746194591755,-0.6396160581000634,-5.50303424579835,-5.505828981164598,0,0,0,0.2660717623953044,0.41027741808107177,0.4484358590033574,0.19033460514152928,-0.08925571706852595,-0.13497304302595298,-3.0117158332560097,-3.5261609401344742,False,False,-3.5261609401344742,-5.505828981164598,-1.3336178636762799,1.2442564323480654,0,-0.8084233449269749,0.7035155448434338,0,1.0775971249070535,1.0561287768531615,1,-6.539709656681168,-6.539709656681168,-6.421196641997135
B,5483.0,drill,120.6744,259.8329,124.09872827088653,265.33826391458643,1,1,0,2.134924898305656,1.6101326693417257,0.5992846067954678,-2.211873221773177,-1.672928237676909,-0.6296334642909928,-5.492261007754134,-5.5053639145864395,0,0,0,0.22576689558414884,0.39444914687043436,0.3549334594358125,0.12285618977734646,-0.21460718321603622,-0.29531980505767735,-3.250530968149535,-3.4243282708865195,False,False,-3.4243282708865195,-5.5053639145864395,-1.3668945378625883,1.2679668076223911,0,-0.8796679519871852,0.7596541987347337,0,1.0534128417917912,1.0335216572437689,1,-6.509386954374179,-6.509386954374179,-6.481088077468266
B,5484.0,drill,120.6144,259.8393,123.9337784268967,265.23421994563927,1,1,0,2.1112985608064627,1.5908518166332597,0.6387289375655727,-2.1714516287439847,-1.6399412043940722,-0.4058432402625949,-5.445784494803569,-5.394919945639288,0,0,0,0.19345376372772127,0.39346674434581824,0.284986017999059,0.07852624711088853,-0.2969568246159601,-0.3659054970822205,-3.4074205628529066,-3.319378426896691,False,False,-3.319378426896691,-5.394919945639288,-1.3631409415613174,1.28780278572261,0,-0.908359761657783,0.8109281367399078,0,1.0194126453242625,1.0103000284908596,1,-6.36817138496923,-6.36817138496923,-6.474332346129143
