well_id,feature,corr_with_SPP,corr_with_ANNULAR
A,Depth(m),0.8188445666813329,0.9219369991210359
A,TVD(m),-0.03758147649657197,-0.04952429823242345
A,Flow In Pum Avg(lpm),0.5604262326178047,0.5046754186876877
A,ROP Avg(m/hr),-0.036907227215984606,-0.05309789999726925
A,Torque Abs Avg(kN-m),0.7730255442854563,0.8584161227681587
A,WOB Avg(mton),0.5675552928591551,0.5455101764513028
A,RPM Surface Avg(rpm),0.8092796117119658,0.8609779283356271
A,Dens Mud(sg),-0.4933127450226021,-0.5007885722217331
A,mass_flow,0.18912684451645376,0.13459751340312745
A,depth_normalized,0.8188445666813329,0.921936999121036
A,depth_rel,0.8188445666813325,0.9219369991210367
A,inclination_proxy,0.8189330679733233,0.9220581806775489
A,dWOB_dmd,-0.00047796898970942515,0.012062601549521684
A,dFlow_dmd,-0.025089977162502455,-0.02588992681560399
A,dROP_dmd,-0.004310579719241744,-0.0004356583978336038
A,WOB_mean_10m,0.6666012201575885,0.6457488975897022
A,Flow_mean_10m,0.5768729722887871,0.520839961970603
A,torque_per_rpm,0.4870523929846208,0.5577756743648343
A,rop_per_rpm,-0.06414149870324905,-0.08312265367314384
B,Depth(m),0.8299085574686673,0.6215865861400547
B,TVD(m),-0.6445612745885377,-0.7137896873303633
B,Flow In Pum Avg(lpm),0.5903774763389531,0.22653303924791746
B,ROP Avg(m/hr),0.02382524413626434,0.17110055832595197
B,Torque Abs Avg(kN-m),0.17773554804628505,0.31637232295851436
B,WOB Avg(mton),-0.2852750083576863,-0.15072521032189193
B,RPM Surface Avg(rpm),-0.01841156424841287,0.13850121586772937
B,Dens Mud(sg),0.08727140005585161,0.17992051951746696
B,mass_flow,0.5680057234989548,0.2675648713335925
B,depth_normalized,0.8299085574686669,0.6215865861400532
B,depth_rel,0.8299085574686673,0.6215865861400532
B,inclination_proxy,0.8301733646490911,0.6236407114426789
B,dWOB_dmd,0.08146761170493917,0.0037441389881229005
B,dFlow_dmd,-0.03324272158355416,-0.010649074629791158
B,dROP_dmd,0.014012900640493394,0.014957495762698869
B,WOB_mean_10m,-0.3102201503460133,-0.12095251229782582
B,Flow_mean_10m,0.6116144510580783,0.21517462739052123
B,torque_per_rpm,0.17295661247800942,0.23092170631836526
B,rop_per_rpm,0.028979788917600082,0.13552931997231438
C,Depth(m),-0.4714806534522233,-0.5026652742619178
C,TVD(m),-0.32767559915547073,-0.3143987188043947
C,Flow In Pum Avg(lpm),0.9458141036894467,0.7255503485097922
C,ROP Avg(m/hr),0.7628880788448716,0.7563427528965317
C,Torque Abs Avg(kN-m),0.6315551579788966,0.6502075617168713
C,WOB Avg(mton),0.6748614000619998,0.6809687818340425
C,RPM Surface Avg(rpm),0.5332085315566452,0.41398007019280164
C,Dens Mud(sg),0.5099696379715266,0.4564138081033838
C,mass_flow,0.9324452568276608,0.72281066369212
C,depth_normalized,-0.47148065345222223,-0.5026652742619168
C,depth_rel,-0.4714806534522215,-0.5026652742619165
C,inclination_proxy,-0.4718699283642068,-0.5032789664870462
C,dWOB_dmd,-0.0060217079944854465,-0.0015638236584164548
C,dFlow_dmd,0.02759846659027987,0.004905579207546427
C,dROP_dmd,-0.024169671738719967,-0.021654322525532444
C,WOB_mean_10m,0.6998950141560709,0.699375727791522
C,Flow_mean_10m,0.9360830573670196,0.7266083071678814
C,torque_per_rpm,-0.23092156128197502,-0.14032474222649252
C,rop_per_rpm,0.524502493565839,0.5732313037195915
D,Depth(m),0.22047313165328022,0.48266859604854456
D,TVD(m),-0.39597647665294405,-0.2941320263204059
D,Flow In Pum Avg(lpm),0.5498715253359279,0.09351713372541086
D,ROP Avg(m/hr),-0.25796333822933976,0.009557118034184244
D,Torque Abs Avg(kN-m),0.3017143827768681,0.3861933338721038
D,WOB Avg(mton),-0.054943140128738605,0.0963130383902552
D,RPM Surface Avg(rpm),0.3837785956344492,0.01774457055782957
D,Dens Mud(sg),-0.21143045792376045,-0.27994492371591884
D,mass_flow,0.31159365043770165,-0.0985045592339502
D,depth_normalized,0.22047313165327997,0.48266859604854384
D,depth_rel,0.22047313165328022,0.4826685960485465
D,inclination_proxy,0.16032700411695996,0.4213902237165539
D,dWOB_dmd,-0.029212689591553185,-0.0026210313551331865
D,dFlow_dmd,0.03606974198886223,0.0071898442234136686
D,dROP_dmd,-0.0005761275866456233,0.005783128606910074
D,WOB_mean_10m,-0.004134953980291103,0.11010299419049342
D,Flow_mean_10m,0.5160639806932493,0.08666687906159475
D,torque_per_rpm,0.2133126564676382,0.39175115341084327
D,rop_per_rpm,0.12055400579848288,0.1452398835301655
